,Sub0,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19
Tri0,2797.2242398282415,1039.5712117394362,4045.3459517452293,3530.9342100620374,2410.276347504243,6541.494155759339,1977.9198423762537,2343.555593573933,143.6959636473829,8147.939690976418,5183.9424228793105,4548.240971150676,2076.921295715758,4230.548795494785,4134.589984296459,2067.1322949067744,4087.049470605244,2704.3274370052673,2790.4763843355436,5141.106291583466
Tri1,786.8950886240336,3076.2230659323454,1033.3104178778,3758.0434543351644,4000.8057776970068,2756.8029962742353,2918.7681163870016,2613.934992219339,2655.6844340872267,7410.3378072104715,3182.9039754189143,4324.103096050639,1843.5062770383493,1338.4532349649435,2693.7722031726603,7239.0948528657755,1320.715043413701,4449.372348651921,1085.8844831392046,3556.2316709868182
Tri2,3516.902395551658,4632.818016081039,4874.066155433216,3031.37740242657,2485.677228087907,4929.841314031237,435.95039857844375,3059.2417329381387,2923.325599791208,3530.3890209788706,3002.5552291596587,7537.781866647172,1989.2491648590078,4513.510928211453,4473.733040258634,7422.364759189634,3338.164717407856,4840.676785978871,2721.3430951240175,1972.689272480762
Tri3,333.8818302126029,104.44847574731087,2304.093855721315,586.0982657802875,4575.178155251512,2365.6827211373134,1285.101296420612,5050.566342506548,2446.8706056755714,5096.855056587258,1047.6030064807946,5431.187785285006,2879.5544537287356,311.3190598574355,2814.3858089415116,3396.500193584791,1324.7800812971468,1518.9919792774688,1676.3952225335715,2051.924695321461
Tri4,6790.330060789712,2629.7510463706117,3148.222057588034,1894.867975145098,2274.05748513254,8186.457040966597,1195.2538809888433,3747.385847106286,1456.694540663579,3437.159877891243,6745.578676100341,4101.871682222117,1944.7737747511699,1571.9421344937432,3186.806328129961,6588.562377849788,2866.277989137589,2079.8808396471004,1086.0631385461072,7051.740732382455
Tri5,3047.828257936105,397.0383018786607,114.21564076191393,4089.89960093327,4049.4344619587405,4025.4647306513025,2638.680380053046,1885.518601663397,307.8741451222743,1883.1115579443272,4216.585496293725,3179.854035571537,2370.7400802817233,1178.494817987589,2048.8126016211645,5268.01620961758,3215.2741116112047,1073.4975808451236,68.18482262146009,4022.0433212193684
Tri6,2176.597044608054,3552.355757322198,1973.3930866961962,4362.043226492828,5170.251440851424,6009.945843009892,724.7581331116465,3600.654490873768,501.5855707891167,3658.042949922439,1796.3537494122709,2115.447625026855,2434.76757111143,2890.6373327538254,1354.3107940516518,2957.510350403051,1447.567916144279,2020.8936164993943,3598.6577111305005,1439.3849095372727
Tri7,7505.781799618831,3250.1152373858836,1378.417119291123,5991.874044843115,143.60617592400703,6485.648063625051,543.664038645618,2136.8439382098304,1224.5118800089397,6117.384527484931,2269.914529480181,5853.215276026637,1970.5363780499154,2433.7925968504833,2363.395834022265,1330.2076057946529,6592.48432358361,3009.042214353542,256.5782480122374,2584.7296501716323
Tri8,3290.2771508101296,2180.4194401332284,1069.3226705250827,5277.547086288153,2287.661406156882,5077.853063154849,2893.314803258049,4536.102481646956,2106.468810547636,1775.207527745876,3120.3398177156487,2296.4673124836922,3544.4221871354966,4943.8394930161885,2156.8737356020606,4923.989022020086,1152.0210826363266,2550.905618950072,1914.4281978558308,3390.9085811669042
Tri9,1881.5818973167536,1168.3343724421316,2808.5128159716637,2198.630267904584,1688.4882194837376,2049.2459757865345,1336.2945298717004,4475.980197450688,341.6137923881123,1397.7178551360655,5802.017010353284,1227.1850744063279,2183.9882024124386,266.1886030786355,5280.917742370513,4852.98186141509,2825.5403271088835,2645.2303682155557,233.15060361767627,4912.713861196435
Tri10,3646.3139334941557,1625.6598625353963,3206.440178851312,1194.5697147145595,1939.3837341337062,1879.1575906301302,4970.830738567511,4134.752285553679,1298.460972155551,1956.6284093327458,2732.487734531616,9493.147895618547,2475.47673998761,738.7158091581712,2294.571906921148,1304.6518700636796,3412.442107088106,2469.0968649445626,2715.1302580477754,4059.136955117737
Tri11,3931.516191749153,192.56664507048637,1403.4701976446074,3397.29572909701,4681.754009842617,6591.613394388301,2980.0072088202373,2485.156211789393,522.0509507713754,4378.77887303,3018.2877642867184,2650.1841761648993,14.216346294220084,3716.312716090765,6855.044510054517,1247.417970306237,1424.2238686724697,3058.837396936445,4825.153445218305,1377.779459496014
Tri12,4308.815581769666,1591.300260478086,5504.718659298945,4046.0825745179313,2555.540064157666,5113.426538132781,2593.246609535991,4443.971193691653,2563.882354322678,5391.326624076225,292.40946886817255,4356.282689926718,579.0645600089902,3869.1931045883052,4032.3267613851303,3886.2071901353343,37.948280365656004,2477.45641348029,7079.723259064984,2880.0585050050017
Tri13,2004.2325083576627,1972.6000352344092,2536.1889403446007,1908.891889038449,4091.16630111147,1679.6087728443783,7583.853123169824,4023.6335028193207,1786.137312546733,3038.511976911899,3821.3884127697775,3700.1120114753608,2047.4327987757013,3722.822930327283,3277.8621877644614,3697.00738231122,4759.4222851329105,1278.1004073535019,1124.765465042185,6248.230659230328
Tri14,6017.81748592498,644.9559121138362,1987.820582333202,2354.542490090481,1388.9691633592513,2372.667094124715,479.2987973741855,1233.2386167496657,3057.372751826969,3146.273530791672,8460.18168377893,5154.616079371824,3210.443052826017,2303.223105847258,8024.009753658538,1431.5023362404204,2805.812304189471,209.45264934261542,29.28691518100901,5605.288287834072
Tri15,2601.3052826897356,3594.655184367413,2371.4593752155897,3938.3444429212855,2853.16665501176,4711.309827075276,3898.284833442582,3572.704270043711,1310.699188467277,4263.84302277125,1057.8860203708819,2406.319185218124,2624.2367411637633,4550.713882843678,3741.8352165375236,1844.6056776018615,6603.612970587574,1632.1824497408181,1717.0011765698869,4712.964280218129
Tri16,3999.043797174494,2071.515702901359,3385.07011701121,3601.361161474632,6218.904091320572,4637.3881913393025,3305.6771854625345,4283.664182551824,692.2420280079776,2030.449406238222,3598.057871410203,1374.546937721834,1480.6110114688584,3241.384679336367,6352.487412990997,4769.8076301187675,345.90112562752506,4162.285049821456,3181.815704131605,1458.0258731710219
Tri17,1372.419651529381,1848.2139722971026,4248.673137034118,3914.2710558697236,3890.5124695336767,3076.0430207207382,1293.9785270624288,6441.018287201153,1816.0635019786832,2344.6987702095616,1640.9202088265595,5323.1686295360205,3648.9123798758437,2760.7211030278313,7033.016570116222,5071.046488728364,2946.679450924005,293.87246654280096,2713.7974674347756,2096.0620751416723
Tri18,3650.763985518827,5793.4982662345865,2728.329609989251,2176.3028478743267,3461.9452918771094,6076.972257087018,2195.4606763920533,5416.264594755349,1369.2461423724465,5103.07619636608,2892.0604958264216,3892.435507859164,1295.714143772524,20.22369027038595,3690.5300282265816,1439.2862008090888,3331.1258296268643,1405.3623581392478,674.7661488158936,2690.896211851377
Tri19,4590.144643861568,2738.8719209344627,271.5049161624434,438.6037873457983,1240.028763313275,3096.0724334368474,2370.3451651940336,4593.902986895488,3272.5976871229805,4735.979485755819,5122.880849601393,5917.462942061642,4162.275122462626,1684.4700843796033,6845.328217840936,6875.100886214875,4941.876043920673,194.37118485451398,1230.6822719118377,2914.6784689447486
Tri20,1789.1100261705174,2564.2817193697606,2561.038386769187,3934.2184280309993,,4041.204419184656,2452.776552517516,2294.776564755039,1931.3313791031214,7175.587179425135,3183.7541377634234,3513.924554464536,905.0139564967052,354.74183201863985,3134.348455269329,5414.503988377648,1859.8833860480836,1044.3680430469628,2518.7702759824087,3580.021139021411
Tri21,2350.8652086236793,3983.8658234868235,1377.5678931036355,9126.489066129008,,769.143341276748,7671.032391803377,7018.641415645969,1765.4761528541521,3308.4793651096684,6039.58871197674,5881.403432849632,1107.831737506956,2119.1467232900295,8965.077468425956,3400.4013296623734,1074.6469397773492,1467.227138884277,385.8172104441009,4313.807515808367
Tri22,6952.390799358504,2063.316230088888,1535.85163485646,2888.3083733216754,,5570.172691202619,3200.8528841954453,5913.022804426768,427.5917140398903,3944.805607229178,2765.051690904526,4495.600497799597,3512.207504233779,105.08075063693167,5065.155604450885,2852.460376336831,4284.974905141656,2193.34087558929,3922.9170901608613,6555.267029985354
Tri23,3981.190750122092,3247.512882488875,3721.031070276344,2099.836776677054,,6456.13896270365,2025.5387833707443,2661.6384911322207,1088.3324662748769,6264.921508781863,2461.3353941149194,6783.4662809988895,3711.174363533715,1367.7473177590755,2005.241989933285,3895.9969765800674,2927.5251474883275,567.9366934461855,1042.124276966464,3309.4782665872103
Tri24,1018.9196038610122,2192.488372219464,2749.4249483431813,2821.3332868390935,1414.6760449850854,4442.560507660895,3913.692260439388,5384.410278171369,32.01949902609857,4496.280230636233,1248.691549076658,10061.049263155113,1844.528675282338,70.76855168242335,2701.31723366536,1849.1932713645322,1006.8528339900893,2177.6629095330695,2369.8232408395165,5870.7303221929105
Tri25,2315.0872411001437,2201.058303219338,719.0143813476141,737.3052973283446,4660.901241639999,3314.2287216066757,1319.01951122474,2356.7824083189594,1474.041408924376,1173.6897711214858,6404.474739894175,2472.5708041666594,4559.19665168061,3857.026458520195,259.46740729282425,3718.624366439332,2832.4051287297007,3471.1259656085804,641.862062555958,6200.306854636578
